Date,Version,NumberOfStudents,Better_roll,Worse_roll,Pon.task,Ticks,End_knowledge,Baseline.attention,ID,Knowledge_percent
2021-05-19,125238-2.csv,5,0.9,1.1,0.012484572278342699,5745,4969.5,0.8456584184060408,43,0.8650130548302872
2021-05-19,125238-2.csv,5,0.9,1.1,0.018035947809082638,5745,4344,0.7495192804655351,41,0.7561357702349869
2021-05-19,125238-3.csv,5,0.9,1.1,0.013595812017179743,5745,5259,0.9278640323072829,50,0.9154046997389034
2021-05-19,125238-3.csv,5,0.9,1.1,0.012694961483828742,5745,4055.5,0.697285227976653,49,0.7059181897302002
2021-05-19,125238-3.csv,5,0.9,1.1,0.01061385304717061,5745,4544,0.8050122270761269,47,0.7909486510008703
2021-05-19,125238-3.csv,5,0.9,1.1,0.007440730077727332,5745,4252,0.7397480287505911,48,0.7401218450826806
2021-05-19,125238-3.csv,5,0.9,1.1,0.011983254150104664,5745,4378.5,0.7588613974675525,46,0.7621409921671018
2021-05-19,125238-4.csv,5,0.9,1.1,0.010180976168488424,5745,4281,0.7360427078216863,52,0.7451697127937337
2021-05-19,125238-4.csv,5,0.9,1.1,0.014679255950535349,5745,2860,0.4952509818210432,53,0.4978241949521323
2021-05-19,125238-4.csv,5,0.9,1.1,0.013042856358831945,5745,5237.5,0.9166439696731229,54,0.9116623150565709
2021-05-19,125238-4.csv,5,0.9,1.1,0.012732433999655365,5745,4528,0.8059990563933249,55,0.7881636205395997
2021-05-19,125238-4.csv,5,0.9,1.1,0.012843236653865896,5745,4148,0.7291329534446103,51,0.7220191470844213
2021-05-19,125238-5.csv,5,0.9,1.1,0.013342566020496953,5745,5331,0.9155702539653495,59,0.9279373368146214
2021-05-19,125238-5.csv,5,0.9,1.1,0.01223477709215259,5745,4531,0.7859568559396203,60,0.7886858137510879
2021-05-19,125238-5.csv,5,0.9,1.1,0.01383437020977652,5745,5073.5,0.8663991828939889,56,0.8831157528285466
2021-05-19,125238-5.csv,5,0.9,1.1,0.011143351106662284,5745,4137,0.7272874193926293,58,0.7201044386422977
2021-05-19,125238-5.csv,5,0.9,1.1,0.012068746461435275,5745,4104,0.7247183654684243,57,0.7143603133159269
2021-05-19,125238-6.csv,5,0.9,1.1,0.011353786288040934,5745,4087,0.7233738826974163,64,0.7114012184508268
2021-05-19,125238-6.csv,5,0.9,1.1,0.014942813939106094,5745,5067,0.8768737657966542,62,0.8819843342036554
2021-05-19,125238-6.csv,5,0.9,1.1,0.012782224101764638,5745,3358.5,0.580209521062328,65,0.5845953002610966
2021-05-19,125238-6.csv,5,0.9,1.1,0.0158331050872653,5745,4209,0.7326100535165898,63,0.7326370757180156
2021-05-19,125238-6.csv,5,0.9,1.1,0.015407714291217746,5745,4644,0.8227754069903045,61,0.808355091383812
